id,sura,aya,arabic_text,URL,translation
18,2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/18.mp3,ለነርሱም «በምድር ላይ አታበላሹ» በተባሉ ጊዜ «እኛ አሳማሪዎች ብቻ ነን» ይላሉ፡፡
19,2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/19.mp3,ንቁ እነርሱ አጥፊዎቹ እነሱው ናቸው፤ ግን አያውቁም፡፡
20,2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/20.mp3,ለነሱም «ሰዎቹ እንዳመኑ እመኑ» በተባሉ ጊዜ «ቂሎቹ እንዳመኑ እናምናለን?» ይላሉ፡፡ አዋጅ ንቁ እነርሱ ቂሎቹ እነርሱው ናቸው፤ ግን አያውቁም፡፡
21,2,14,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/21.mp3,እነዚያንም ያመኑትን በተገናኙ ጊዜ «አምነናል» ይላሉ፡፡ ወደ ሰይጣኖቻቸውም ባገለሉ ጊዜ «እኛ ከናንተ ጋር ነን፤ እኛ (በነሱ) ተሳላቂዎች ብቻ ነን» ይላሉ፡፡
22,2,15,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/22.mp3,አላህ በነሱ ይሳለቅባቸዋል፤ በጥመታቸውም ውስጥ የሚዋልሉ ሲኾኑ ያዘገያቸዋል፡፡
23,2,16,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/23.mp3,እነዚህ እነዚያ ስህተትን በቅንነት የገዙ ናቸው፡፡ ንግዳቸውም አላተረፈችም፤ ቀጥተኞችም አልኾኑም፡፡
24,2,17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/24.mp3,(በንፍቅና) ምሳሌያቸው እንደዚያ እሳትን እንዳነደደ ሰው በዙሪያው ያለውን ሁሉ ባበራች ጊዜም አላህ ብርሃናቸውን እንደወሰደባቸው በጨለማዎችም ውስጥ የማያዩ ኾነው እንደተዋቸው (ሰዎች) ብጤ ነው፡፡
25,2,18,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/25.mp3,(እነሱ) ደንቆሮዎች፣ ዲዳዎች፣ ዕውሮች ናቸው፤ ስለዚህ እነርሱ አይመለሱም፡፡
26,2,19,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/26.mp3,ወይም (ምሳሌያቸው) ከሰማይ እንደ ወረደ ዝናም (ባለቤቶች) ነው፤ በርሱ (በደመናው) ውስጥ ጨለማዎች፣ ነጎድጓድም፣ ብልጭታም ያሉበት ሲኾን ከመብረቆቹ ሞትን ለመፍራት ጣቶቻቸውን በጆሮቻቸው ውስጥ እንደሚያደርጉ ብጤ ነው፡፡ አላህም ከሓዲዎችን ከባቢ ነው፡፡
27,2,20,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/27.mp3,ብልጭታው ዓይኖቻቸውን ሊነጥቅ ይቀርባል፡፡ ለነርሱ ባበራላቸው ቁጥር በርሱ ውስጥ ይኼዳሉ፡፡ በነሱም ላይ ባጨለመ ጊዜ ይቆማሉ፡፡ አላህም በሻ ኖሮ መስሚያቸውንና ማያዎቻቸውን በወሰደ ነበር፤ አላህ በነገሩ ሁሉ ላይ ቻይ ነውና፡፡
28,2,21,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/28.mp3,እናንተ ሰዎች ሆይ! የፈጠራችሁን እነዚያንም ከናንተ በፊት የነበሩትን (የፈጠረውን) ጌታችሁን ተገዙ፤ (ቅጣትን) ልትጠነቀቁ ይከጀላልና፡፡
29,2,22,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/29.mp3,(እርሱ) ያ ለናንተ ምድርን ምንጣፍ ሰማይንም ጣራ ያደረገ ነው፤ ከሰማይም (ከደመና) ውሃን ያወረደ በርሱም ከፍሬዎች ለናንተ ሲሳይን ያወጣ ነው፡፡ እናንተም (ፈጣሪነቱን) የምታውቁ ስትኾኑ ለአላህ ባላንጣዎችን አታድርጉ፡፡
30,2,23,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/30.mp3,በባሪያችንም ላይ ካወረድነው በመጠራጠር ውስጥ ብትኾኑ ከብጤው አንዲትን ምዕራፍ አምጡ፡፡ እውነተኞችም እንደኾናችሁ ከአላህ ሌላ መስካሪዎቻችሁን ጥሩ፡፡
31,2,24,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/31.mp3,(ይህንን) ባትሠሩ ፈጽሞም አትሠሩትምና ያችን መቀጣጠያዋ ሰዎችና ድንጋዮች የኾነችውን እሳት ተጠበቁ፤ ለከሓዲዎች ተደግሳለች፡፡
32,2,25,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/32.mp3,እነዚያን ያመኑትንና መልካሞችንም የሠሩትን ለነርሱ ከሥሮቻቸው ወንዞች የሚፈሱባቸው ገነቶች ያሏቸው መኾኑን አብስራቸው፡፡ ከርሷ ከፍሬ (ዓይነት) ሲሳይን በተመገቡ ቁጥር (ፍሬዎችዋ ስለሚመሳሰሉ) «ይህ ያ ከአሁን በፊት የተገመብነው ነው» ይላሉ፡፡ እርሱንም ተመሳሳይ ኾኖ ተሰጡት፡፡ ለነሱም በውስጧ ንጹህ የተደረጉ ሚስቶች አሏቸው፡፡ እነሱም በውስጧ ዘውታሪዎች ናቸው፡፡
33,2,26,۞ إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ فَأَمَّا ٱلَّذِينَ ءَامَنُواْ فَيَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡۖ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلۡفَٰسِقِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/33.mp3,አላህ ማንኛውንም ነገር ትንኝንም ኾነ (በትንሽነት ወይም በትልቅነት) ከበላይዋ የኾነንም ምሳሌ ለማድረግ አያፍርም፡፡ እነዚያ ያመኑትማ፤ እርሱ (ምሳሌው) ከጌታቸው (የተገኘ) እውነት መኾኑን ያውቃሉ፡፡ እነዚያም የካዱትማ «አላህ በዚህ ምንን ምሳሌ ሻ» ይላሉ፡፡ በርሱ (በምሳሌው) ብዙዎችን ያሳስታል በርሱም ብዙዎችን ያቀናል፡፡ በርሱም አመፀኞችን እንጅ ሌላን አያሳስትም፡፡
34,2,27,ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَٰقِهِۦ وَيَقۡطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفۡسِدُونَ فِي ٱلۡأَرۡضِۚ أُوْلَٰٓئِكَ هُمُ ٱلۡخَٰسِرُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/34.mp3,እነዚያ የአላህን ቃል ኪዳን ከአጠበቀባቸው በኋላ የሚያፈርሱ እንዲቀጠልም በርሱ ያዘዘውን ነገር የሚቆርጡ በምድርም ላይ የሚያበላሹ እነዚያ እነርሱ ከሳሪዎቹ ናቸው፡፡
35,2,28,كَيۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوَٰتٗا فَأَحۡيَٰكُمۡۖ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/35.mp3,ሙታን የነበራችሁ ስትኾኑ ሕያው ያደረጋችሁ ከዚያም የሚገድላችሁ ከዚያም ሕያው የሚያደርጋችሁ ሲኾን ከዚያም ወደርሱ የምትመለሱ ስትኾኑ በአላህ እንዴት ትክዳለችሁ!
36,2,29,هُوَ ٱلَّذِي خَلَقَ لَكُم مَّا فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبۡعَ سَمَٰوَٰتٖۚ وَهُوَ بِكُلِّ شَيۡءٍ عَلِيمٞ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/36.mp3,እርሱ ያ በምድር ያለውን ሁሉ ለእናንተ የፈጠረ ነው፡፡ ከዚያም ወደ ሰማይ አሰበ፤ ሰባት ሰማያትም አደረጋቸው፡፡ እርሱም በነገሩ ሁሉ ዐዋቂ ነው፡፡
37,2,30,وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَٰٓئِكَةِ إِنِّي جَاعِلٞ فِي ٱلۡأَرۡضِ خَلِيفَةٗۖ قَالُوٓاْ أَتَجۡعَلُ فِيهَا مَن يُفۡسِدُ فِيهَا وَيَسۡفِكُ ٱلدِّمَآءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّيٓ أَعۡلَمُ مَا لَا تَعۡلَمُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/37.mp3,(ሙሐመድ ሆይ) ጌታህ ለመላእክት፡- «እኔ በምድር ላይ ምትክን አድራጊ ነኝ፤» ባለ ጊዜ (የኾነውን አስታውስ፤ እነርሱም) «እኛ ከማመስገን ጋር የምናጠራህ ላንተም የምንቀድስ ስንኾን በርሷ ውስጥ የሚያጠፋንና ደሞችንም የሚያፈስን ታደርጋለህን?» አሉ፡፡ (አላህ) «እኔ የማታውቁትን ነገር አውቃለሁ» አላቸው፡፡
38,2,31,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِي بِأَسۡمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمۡ صَٰدِقِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/38.mp3,አደምንም ስሞችን ሁሏንም አስተማረው፡፡ ከዚያም በመላእክት ላይ (ተጠሪዎቹን) አቀረባቸው፡፡ «እውነተኞችም እንደኾናችሁ የነዚህን (ተጠሪዎች) ስሞች ንገሩኝ» አላቸው፡፡
39,2,32,قَالُواْ سُبۡحَٰنَكَ لَا عِلۡمَ لَنَآ إِلَّا مَا عَلَّمۡتَنَآۖ إِنَّكَ أَنتَ ٱلۡعَلِيمُ ٱلۡحَكِيمُ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/39.mp3,«ጥራት ይገባህ፤ ከአስተማርከን ነገር በስተቀር ለኛ ዕውቀት የለንም፡፡ አንተ ዐዋቂው ጥበበኛው አንተ ብቻ ነህና» (አሉ)፡፡
40,2,33,قَالَ يَٰٓـَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَآئِهِمۡۖ فَلَمَّآ أَنۢبَأَهُم بِأَسۡمَآئِهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّيٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/40.mp3,፡-«አደም ሆይ ስሞቻቸውን ንገራቸው» አለው፡፡ ስሞቻቸውን በነገራቸውም ጊዜ «እኔ የሰማያትንና የምድርን ሩቅ ምስጢር ዐውቃለሁ፤ የምትገልጹትንና ያንንም ትደብቁት የነበራችሁትን ዐውቃለሁ አላልኳችሁምን?» አላቸው፡፡
41,2,34,وَإِذۡ قُلۡنَا لِلۡمَلَٰٓئِكَةِ ٱسۡجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْ إِلَّآ إِبۡلِيسَ أَبَىٰ وَٱسۡتَكۡبَرَ وَكَانَ مِنَ ٱلۡكَٰفِرِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/41.mp3,ለመላእክትም «ለአደም ስገዱ» ባልን ጊዜ (አስታውስ) ፡፡ ሁሉም ወዲያውኑ ሰገዱ፤ ኢብሊስ (ዲያብሎስ) ብቻ ሲቀር እምቢ አለ፤ ኮራም ከከሓዲዎቹም ኾነ፡፡
42,2,35,وَقُلۡنَا يَٰٓـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَيۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/42.mp3,«አደም ሆይ! አንተ ከነሚስትህ በገነት ተቀመጥ፤ ከርሷም በፈለጋችሁት ስፍራ በሰፊው ተመገቡ፤ ግን ይህችን ዛፍ አትቅረቡ፤ ከበደለኞች ትኾናላችሁና» አልንም፡፡
43,2,36,فَأَزَلَّهُمَا ٱلشَّيۡطَٰنُ عَنۡهَا فَأَخۡرَجَهُمَا مِمَّا كَانَا فِيهِۖ وَقُلۡنَا ٱهۡبِطُواْ بَعۡضُكُمۡ لِبَعۡضٍ عَدُوّٞۖ وَلَكُمۡ فِي ٱلۡأَرۡضِ مُسۡتَقَرّٞ وَمَتَٰعٌ إِلَىٰ حِينٖ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/43.mp3,ከርሷም ሰይጣን አዳለጣቸው በውስጡም ከነበሩበት (ድሎት) አወጣቸው፡፡ «ከፊላችሁም ለከፊሉ ጠላት ሲኾን ውረዱ፤ ለናንተም በምድር ላይ እስከ ጊዜ (ሞታችሁ) ድረስ መርጊያና መጣቀሚያ አላችሁ» አልናቸው፡፡
44,2,37,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيۡهِۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/44.mp3,አደምም ከጌታው ቃላትን ተቀበለ፡፡ በርሱ ላይም (ጌታው ጸጸትን በመቀበል) ተመለሰለት፤ እነሆ እርሱ ጸጸትን ተቀባይ አዛኝ ነውና፡፡
45,2,38,قُلۡنَا ٱهۡبِطُواْ مِنۡهَا جَمِيعٗاۖ فَإِمَّا يَأۡتِيَنَّكُم مِّنِّي هُدٗى فَمَن تَبِعَ هُدَايَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/45.mp3,«ሁላችሁም ኾናችሁ ከርሷ ውረዱ፡፡ ከኔም የኾነ መመሪያ ቢመጣላችሁ ወዲያውኑ መመሪያዬን የተከተለ ሰው በነሱ ላይ ፍርሃት የለባቸውም፤ እነሱም አያዝኑም» አልናቸው፡፡
46,2,39,وَٱلَّذِينَ كَفَرُواْ وَكَذَّبُواْ بِـَٔايَٰتِنَآ أُوْلَٰٓئِكَ أَصۡحَٰبُ ٱلنَّارِۖ هُمۡ فِيهَا خَٰلِدُونَ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/46.mp3,እነዚያም (በመልክተኞቻችን) የካዱ በአንቀጾቻችንም ያስተባበሉ እነዚያ የእሳት ጓዶች ናቸው፡፡ እነርሱ በውስጧ ዘውታሪዎች ናቸው፡፡
47,2,40,يَٰبَنِيٓ إِسۡرَٰٓءِيلَ ٱذۡكُرُواْ نِعۡمَتِيَ ٱلَّتِيٓ أَنۡعَمۡتُ عَلَيۡكُمۡ وَأَوۡفُواْ بِعَهۡدِيٓ أُوفِ بِعَهۡدِكُمۡ وَإِيَّٰيَ فَٱرۡهَبُونِ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/47.mp3,የእስራኤል ልጆች ሆይ! ያችን በናንተ ላይ የለገስኳትን ጸጋዬን አስታውሱ፡፡ በቃል ኪዳኔም ሙሉ፤ በቃል ኪዳናችሁ እሞላለሁና፤ እኔንም ብቻ ፍሩ፡፡
48,2,41,وَءَامِنُواْ بِمَآ أَنزَلۡتُ مُصَدِّقٗا لِّمَا مَعَكُمۡ وَلَا تَكُونُوٓاْ أَوَّلَ كَافِرِۭ بِهِۦۖ وَلَا تَشۡتَرُواْ بِـَٔايَٰتِي ثَمَنٗا قَلِيلٗا وَإِيَّٰيَ فَٱتَّقُونِ,https://cdn.islamic.network/quran/audio/64/ar.alafasy/48.mp3,ከናንተ ጋር ያለውን (መጽሐፍ) የሚያረጋግጥ ሆኖ ባወረድኩትም (ቁርኣን) እመኑ፡፡ በርሱም የመጀመሪያ ከሓዲ አትሁኑ፡፡ በአንቀጾቼም ጥቂትን ዋጋ አትለውጡ፡፡ እኔንም ብቻ ተጠንቀቁ፡
